"Country","X2014"
"Afghanistan",21121935456
"Albania",13413053494
"Algeria",213518444525
"Andorra",3277768151
"Angola",146675708750
"Anguilla",310792977
"Antigua and Barbuda",1248153953
"Argentina",543490308555
"Armenia",10888813703
"Aruba",2663687151
"Australia",1471438626615
"Austria",436887543467
"Azerbaijan",75193456982
"Bahamas",8510495770
"Bahrain",33849994572
"Bangladesh",173061569701
"Barbados",4352750000
"Belarus",76139252027
"Belgium",531546586179
"Belize",1699150000
"Benin",9575264608
"Bermuda",5601074000
"Bhutan",1965048927
"Bolivia (Plurinational State of)",32996188013
"Bosnia and Herzegovina",18490920340
"Botswana",15813393709
"Brazil",2346523074596
"British Virgin Islands",902386167
"Brunei Darussalam",17104193944
"Bulgaria",56717843383
"Burkina Faso",12755524612
"Burundi",2868836461
"Cabo Verde",1854766969
"Cambodia",16777820333
"Cameroon",32050820689
"Canada",1785386649602
"Cayman Islands",3479801474
"Central African Republic",1838020266
"Chad",12790697438
"Chile",258061515589
"China",10430589636745
"China, Hong Kong SAR",290896409419
"China, Macao SAR",55501545048
"Colombia",377739613775
"Comoros",647720102
"Congo",14077122976
"Cook Islands",310927296
"Costa Rica",49552580543
"Croatia",57136585614
"Cuba",8.2775e+10
"Cyprus",23076808670
"Czech Republic",205269709743
"Czechoslovakia (Former)",NA
"D.P.R. of Korea",17395832618
"D.R. of the Congo",35909377660
"Denmark",346119472128
"Djibouti",1589025860
"Dominica",532515775
"Dominican Republic",63968961566
"Ecuador",100917372000
"Egypt",282242226720
"El Salvador",25163714670
"Equatorial Guinea",16731073670
"Eritrea",3857795410
"Estonia",26485155278
"Ethiopia",53638456999
"Ethiopia (Former)",NA
"Fiji",4531698547
"Finland",272216575502
"Former Netherlands Antilles",NA
"France",2829192039172
"French Polynesia",5623186216
"Gabon",17412499258
"Gambia",850958281
"Georgia",16530275226
"Germany",3868291231824
"Ghana",37176593579
"Greece",235574074998
"Greenland",2441226080
"Grenada",884040741
"Guatemala",58826840956
"Guinea",6578775676
"Guinea-Bissau",1209484051
"Guyana",3085834784
"Haiti",8598928793
"Honduras",19497198190
"Hungary",138346669915
"Iceland",17036097482
"India",2054941467388
"Indonesia",888538201026
"Iran (Islamic Republic of)",425326067692
"Iraq",225421580789
"Ireland",250813607686
"Israel",305672809240
"Italy",2141161325367
"Jamaica",13927105740
"Japan",4602419253133
"Jordan",35826901408
"Kazakhstan",216036296331
"Kenya",60936427713
"Kiribati",180273945
"Kosovo",7386582142
"Kuwait",163637399686
"Kyrgyzstan",7404418463
"Lao People's DR",11749111245
"Latvia",31285533217
"Lebanon",49630856940
"Lesotho",2080536397
"Liberia",2.122e+09
"Libya",41319258101
"Liechtenstein",5855392374
"Lithuania",48392319442
"Luxembourg",64873963098
"Madagascar",10673517838
"Malawi",5720080522
"Malaysia",326933428216
"Maldives",3032239478
"Mali",11978738474
"Malta",10535990657
"Marshall Islands",208814181
"Mauritania",5092179849
"Mauritius",12616414222
"Mexico",1294694603252
"Micronesia (FS of)",3.08e+08
"Monaco",7059948256
"Mongolia",12067051157
"Montenegro",4587741791
"Montserrat",63085185
"Morocco",110008560720
"Mozambique",17080913408
"Myanmar",66477754856
"Namibia",13429307309
"Nauru",181710650
"Nepal",19489214387
"Netherlands",879319321495
"New Caledonia",10233914888
"New Zealand",198651955701
"Nicaragua",11805641121
"Niger",8168698935
"Nigeria",568498788190
"Norway",500519016133
"Oman",81796618986
"Pakistan",251254923671
"Palau",233500000
"Panama",4.9166e+10
"Papua New Guinea",16576155295
"Paraguay",30984748095
"Peru",201809120320
"Philippines",284582005142
"Poland",544959357540
"Portugal",230116912514
"Puerto Rico",103675700000
"Qatar",211816822322
"Republic of Korea",1410382943968
"Republic of Moldova",7944167914
"Romania",199045227556
"Russian Federation",1860597576398
"Rwanda",7903362002
"Saint Kitts and Nevis",852203084
"Saint Lucia",1405794281
"Samoa",823723815
"San Marino",1844924701
"Sao Tome and Principe",337413477
"Saudi Arabia",752459548849
"Senegal",15658083145
"Serbia",43866419448
"Seychelles",1510749016
"Sierra Leone",4893299323
"Singapore",307871828263
"Sint Maarten (Dutch part)",1058659218
"Slovakia",100248607784
"Slovenia",49491440620
"Solomon Islands",1102683983
"Somalia",1374625108
"South Africa",349818528372
"South Sudan",11006755458
"Spain",1381342101736
"Sri Lanka",74941145474
"St. Vincent and the Grenadines",729309384
"State of Palestine",12765800000
"Sudan",81893873233
"Sudan (Former)",NA
"Suriname",5210344242
"Swaziland",4482250123
"Sweden",571090480171
"Switzerland",701037135966
"Syrian Arab Republic",34184127956
"Tajikistan",9241627841
"TFYR of Macedonia",11318959431
"Thailand",404823536656
"Timor-Leste",4969775094
"Togo",4575764718
"Tonga",435191386
"Trinidad and Tobago",28068547186
"Tunisia",47423435127
"Turkey",798413757862
"Turkmenistan",47931929825
"Turks and Caicos Islands",796759000
"Tuvalu",37553720
"U.R. of Tanzania: Mainland",48030400639
"Uganda",27464535495
"Ukraine",131805576746
"United Arab Emirates",399451327434
"United Kingdom",2988893283565
"United States",17348071500000
"Uruguay",57471202066
"USSR (Former)",NA
"Uzbekistan",63029684684
"Vanuatu",812245615
"Venezuela (Bolivarian Republic of)",509968214471
"Viet Nam",186204652922
"Yemen",37130520973
"Yemen Arab Republic (Former)",NA
"Yemen Democratic (Former)",NA
"Yugoslavia (Former)",NA
"Zambia",26963357469
"Zanzibar",1289113164
"Zimbabwe",14719366527
